Symbol,Security,Sector,Market Cap,Price,Book Value,Earnings/Share,EBITDA,Price/Sales,52 week low,52 week high,Sub Industry,Address of Headquarters
CMI,Cummins Inc.,Industrials,13.26,68.13,23.89,4.29,2.5,0.92,54.5,78.77,Industrial Machinery,"Columbus, Indiana"
CVS,CVS Health,Consumer Staples,35.09,110.24,21.44,4.62,3.89,1.33,74.91,112.18,Drug Retail,"Woonsocket, Rhode Island"
DHI,D. R. Horton,Consumer Discretionary,20.48,75.97,8.9,4.59,2.98,1.23,58.04,78.12,Homebuilding,"Fort Worth, Texas"
DHR,Danaher Corp.,Health Care,34.68,47.64,16.88,5.79,8.24,0.9,32.6,52.76,Health Care Equipment,"Washington, D.C."
DRI,Darden Restaurants,Consumer Discretionary,14.37,62.55,35.26,1.94,0.7795,3.85,55,65.83,Restaurants,"Orlando, Florida"
DVA,DaVita Inc.,Health Care,22.85,43.56,11.33,-6.52,2.32,2.22,21.15,50.69,Health Care Facilities,"Denver, Colorado"
DE,Deere & Co.,Industrials,17.12,107.48,25.68,2.2,1.17,7.94,83.4,113.21,Agricultural & Farm Machinery,"Moline, Illinois"
DLPH,Delphi Automotive PLC,Consumer Discretionary,27.37,70.98,27.68,5.77,0,3.77,47.5,74.33,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom"
DAL,Delta Air Lines Inc.,Industrials,16.24,27.75,8.83,1.96,2.44,2.5,23.66,29.91,Airlines,"Atlanta, Georgia"
XRAY,Dentsply Sirona,Health Care,15.92,27.2,8.83,1.96,2.44,2.45,22.43,29.07,Health Care Supplies,"York, Pennsylvania"
DVN,Devon Energy Corp.,Energy,19.71,71.36,19.41,4.26,2.37,0.94,66.5,96.88,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma"
DLR,Digital Realty Trust Inc,Real Estate,17.76,75.22,22.83,3.78,2.34,0.87,72.55,99.93,Specialized REITs,"San Francisco, California"
DFS,Discover Financial Services,Financials,47.81,76.12,23.26,3.44,5.8,4.08,68.71,78.97,Consumer Finance,"Riverwoods, Illinois"
DISCA,Discovery Communications-A,Consumer Discretionary,12.35,79.39,24.45,3.25,1.12,1.84,58.91,82.56,Cable & Satellite,"Silver Spring, Maryland"
DISCK,Discovery Communications-C,Consumer Discretionary,76.62,63.15,21.46,3.52,8.69,1.6,47.51,64.36,Cable & Satellite,"Silver Spring, Maryland"
DISH,Dish Network,Consumer Discretionary,17.25,94.23,11.65,4.54,1.65,2.68,81.05,98.8,Cable & Satellite,"Meridian, Colorado"
DG,Dollar General,Consumer Discretionary,18.22,101.55,50.22,4.83,2.24,1.72,84.77,102.1,General Merchandise Stores,"Goodlettsville, Tennessee"
DLTR,Dollar Tree,Consumer Discretionary,68.64,79.39,11.31,2.86,5.07,2.81,61.12,80.66,General Merchandise Stores,"Chesapeake, Virginia"
D,Dominion Resources,Utilities,57.15,81.69,58.62,3.12,10.03,2.56,72.34,87.75,Electric Utilities,"Richmond, Virginia"
DOV,Dover Corp.,Industrials,3.94,107.14,-27.23,2.65,0.45,2.32,96.46,141.57,Industrial Machinery,"Downers Grove, Illinois"
DOW,Dow Chemical,Materials,9.63,35.07,21.41,1.98,0,4.63,21.52,38.61,Diversified Chemicals,"Midland, Michigan"
DPS,Dr Pepper Snapple Group,Consumer Staples,11.56,78.92,30.94,5.75,2.11,1.29,62.7,82.1,Soft Drinks,"Plano, Texas"
DTE,DTE Energy Co.,Utilities,32.17,71.54,33.15,4.21,3.19,1.64,54.3,73.86,Multi-Utilities,"Detroit, Michigan"
DD,Du Pont (E.I.),Materials,36.38,33.47,9.69,6.35,3.01,4.07,22.3,34.43,Diversified Chemicals,"Wilmington, Delaware"
DUK,Duke Energy,Utilities,36.38,124.72,23.65,4.14,2.87,2.77,102.38,126.17,Electric Utilities,"Charlotte, North Carolina"
DXC,DXC Technology,Information Technology,25.82,79.25,36.82,3.98,3.96,2.18,67.44,80.61,IT Consulting & Other Services,"Tysons Corner, Virginia"
ETFC,E*Trade,Financials,19.24,90.54,12.38,2.61,0.8947,6.45,81.12,121.75,Investment Banking & Brokerage,"New York, New York"
EMN,Eastman Chemical,Materials,27.22,88.3,11.56,4.12,1.24,5.81,61.1,88.85,Diversified Chemicals,"Kingsport, Tennessee"
ETN,Eaton Corporation,Industrials,38.85,60.22,12,2.46,3.11,2.7,48.45,64.36,Electrical Components & Equipment,"Dublin, Ireland"
EBAY,eBay Inc.,Information Technology,13.45,75,45.12,-3.26,3.74,1.24,66.71,82.08,Internet Software & Services,"San Jose, California"
ECL,Ecolab Inc.,Materials,7.69,66.14,57.91,-0.47,0.7955,2.13,57.32,83.27,Specialty Chemicals,"St. Paul, Minnesota"
EIX,Edison Int'l,Utilities,57.41,99.53,24.24,-1.98,2.68,7.65,68.74,109.37,Electric Utilities,"Rosemead, California"
EW,Edwards Lifesciences,Health Care,10.16,58.79,33.91,-2.71,0.71958,5.59,56.78,80.61,Health Care Equipment,"Irvine, California"
EA,Electronic Arts,Information Technology,15.75,131.37,22.21,4.04,1.12,5.03,105.52,136.97,Home Entertainment Software,"Redwood City, California"
EMR,Emerson Electric Company,Industrials,26.88,375.24,61.14,1.79,1.5,7.49,299.29,391.07,Electrical Components & Equipment,"Ferguson, Missouri"
ETR,Entergy Corp.,Utilities,22.96,62.55,27.86,11.68,1.57,9.45,58.28,75.49,Electric Utilities,"New Orleans, Louisiana"
EVHC,Envision Healthcare,Health Care,15.32,233.7,94.5,6.27,0.89818,11.41,200.01,237.5,Health Care Services,"Nashville, Tennessee"
